Title,ALogP,ALogp2,AMR,BCUTw-1l,BCUTw-1h,BCUTc-1l,BCUTc-1h,BCUTp-1l,BCUTp-1h,fragC,nAcid,apol,naAromAtom,nAromBond,nAtom,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,nBase,nB,bpol,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,SCH-5,SCH-6,SCH-7,VCH-5,VCH-6,VCH-7,SC-3,SC-4,SC-5,SC-6,VC-3,VC-4,VC-5,VC-6,SP-0,SP-1,SP-2,SP-3,SP-4,SP-5,SP-6,SP-7,VP-0,VP-1,VP-2,VP-3,VP-4,VP-5,VP-6,VP-7,SPC-4,SPC-5,SPC-6,VPC-4,VPC-5,VPC-6,ECCEN,FMF,nHBDon,nHBAcc,HybRatio,khs.sCH3,khs.ssCH2,khs.dsCH,khs.aaCH,khs.sssCH,khs.dssC,khs.aasC,khs.aaaC,khs.ssssC,khs.sNH2,khs.ssNH,khs.dsN,khs.aaN,khs.sssN,khs.aasN,khs.sOH,khs.dO,khs.ssO,khs.sF,khs.ssS,khs.ddssS,khs.sCl,Kier1,Kier2,Kier3,nAtomLC,nAtomP,LipinskiFailures,nAtomLAC,MLogP,MDEC-11,MDEC-12,MDEC-13,MDEC-14,MDEC-22,MDEC-23,MDEC-24,MDEC-33,MDEC-34,MDEO-11,MDEO-12,MDEN-22,PetitjeanNumber,topoShape,nRotB,TopoPSA,VAdjMat,VABC,MW,WTPT-1,WTPT-2,WTPT-3,WTPT-4,WTPT-5,WPATH,WPOL,XLogP,Zagreb,mp (°C)
Mol151,-0.7356,0.54110736,52.6181,11.99626875,15.99870522,-0.410620903,0.116437653,4.871246066,8.971007725,520.04,0,28.014309,6,6,26,0.278699521,-0.090295484,-0.108751649,0.122581929,-0.053672097,15.68338741,14.3286398,19.1587338,20.48666443,14.32491573,635.390534,699.983159,888.1337846,821.2785575,548.2914575,1,13,14.871691,0,5,1,1,1,0,0,0,0.068041382,0.175366474,0,0.024056261,0.035405463,0.873773448,0,0.284517797,0,0.316611583,0,0.047095698,0,9.844934983,6.147065708,5.293658972,4.187493045,2.797056184,2.040078403,1.201168766,0.595393025,7.358148644,3.993923173,2.821627034,1.781717076,1.058931007,0.640889043,0.291854355,0.125417792,2.106081256,2.35501198,3.141781119,0.567608697,0.577247846,0.60933514,153,0.461538462,4,2,0.333333333,1,1,0,3,1,0,3,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,11.07692308,5.024221453,3,5,8,0,2,2.01,0,0.961124566,0.844213625,0,2.449489743,8.54013681,0,2.941682753,0,0.66943295,0,0,0.5,1,3,72.72,4.700439718,170.4219258,183.0895434,25.2337134,1.941054877,10.23818234,7.532753008,2.705429333,256,17,-0.056,60,211.5
Mol152,-0.1303,0.01697809,74.285,11.85,15.99592371,-0.311346817,0.3062547,4.781279741,10.31190327,919.04,0,39.112688,11,11,34,0.43034742,-0.293437718,0.06846461,0.039707384,-0.024368745,20.26889867,20.8271856,27.96163493,27.76792686,28.59829275,1057.778456,1212.094353,1622.786789,1541.939093,1404.433471,0,19,23.665312,2,6,1,3,1,0,0,0.11785113,0.238144836,0.321688271,0.033333333,0.067986691,0.070616813,0.866984544,0,0.326573065,0,0.406076478,0,0.112575809,0,12.95781916,8.736382105,7.281778752,6.168523165,5.055668295,3.431419175,2.01198277,1.259762927,10.53683271,5.975816704,3.993278449,2.84986248,1.868560274,1.071373948,0.52140831,0.27755065,2.476362482,4.046454495,5.369596657,0.992224189,1.288802511,1.390778054,280,0.666666667,0,3,0.285714286,2,1,0,7,1,1,2,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,14.4099723,6.9632,3.526170799,5,8,0,2,2.56,0.142857143,3.330172883,2.470357259,0,7.89757941,10.40812316,0,2.941682753,0,0,0.5,0,0.5,1,5,44.12,5.169925001,227.9425477,244.1211779,36.03346394,2.001859108,11.84136986,5.376547782,6.464822082,613,25,2.256,88,67.0
Mol153,2.3934,5.72836356,102.7036,11.89,34.96985477,-0.315664766,0.292366864,5.054456292,13.45053798,1425.07,0,53.017067,6,6,44,0.647279553,-0.395790516,0.206411872,-0.203478474,0.277370511,43.88375626,32.22845701,48.68120825,66.29126868,65.45607722,2001.19235,2391.553329,3475.28146,4009.233678,3915.513276,0,26,28.018933,2,7,3,4,0,1,0,0,0.113402303,0.344655736,0,0.042098457,0.131591047,1.840377489,0,0.648354859,0,0.938573113,0,0.293176765,0,18.72325016,11.82780492,10.50497094,8.912915095,7.453512599,5.616995412,4.359327112,2.582017299,15.91728786,8.464462546,6.275624467,4.787006823,3.325335409,2.246988792,1.440074579,0.735357572,4.760016863,8.25925707,12.53553034,2.291742632,3.215692336,4.293493219,362,0.48,1,5,0.333333333,4,1,0,3,1,6,3,0,0,0,1,0,0,0,0,0,2,2,0,0,0,2,21.30177515,9.273922571,4.465974625,5,11,0,2,2.67,0.957670155,2.717046559,9.900120231,0,2.027323424,10.98620892,0,18.78302527,0,0.166666667,1.154700538,0,0.444444444,0.8,6,64.63,5.64385619,342.3958562,383.0691136,49.42149084,1.976859634,18.68868229,10.61247506,3.007289969,1300,45,3.739,126,145.0
Mol154,1.786,3.189796,79.915,11.99617788,15.9987083,-0.351506938,0.27884003,3.794270885,9.720621454,814.03,1,39.901102,12,12,33,0.317600948,-0.113448798,0.007782314,-0.010160664,-0.148563832,21.32340711,20.99627593,28.10283694,26.66045989,22.66045989,1091.070362,1232.358626,1597.434585,1533.915688,1218.437597,0,20,17.220898,1,10,3,0,2,0,0,0,0.185395406,0.15515061,0,0.059852793,0.043815285,1.143950551,0,0.201184464,0,0.386718506,0,0.051834039,0,13.66492594,9.164703798,8.021430949,6.137089753,4.622918568,3.758213641,2.210342717,1.656807695,10.37407616,6.071012677,4.260290551,2.879925401,1.843974751,1.216581138,0.620360915,0.384088701,2.251704233,2.908830686,3.669518042,0.754079396,0.872814404,0.892873781,360,0.631578947,1,3,0.125,0,2,0,9,0,2,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,15.39,7.695266272,4.795005203,7,14,0,4,2.89,0,0,0,0,15.58866408,17.11236225,0,3.014685059,0,0.814325285,0,0,0.5,1,5,54.37,5.247927513,244.0583058,254.0942944,38.1467526,2.007723821,7.306880154,7.306880154,0,808,25,2.45,92,186.1
Mol155,3.0677,9.41078329,74.8251,11.9985434,34.97105979,-0.312516397,0.297555006,4.852929688,9.903977611,336.08,0,34.890344,6,6,24,0.5045511,-0.385308178,0.310848014,-0.241101902,-0.025990591,53.24042367,36.04229044,50.10393212,57.17937441,49.27014444,1016.980886,1153.851678,1558.918496,1490.852744,1102.97237,0,16,22.093656,0,6,0,0,0,0,0,0,0.055555556,0.205950377,0,0.020833333,0.079373511,1.800550143,0.176776695,0.284517797,0,1.462786747,0.111803399,0.145718695,0,12.34493498,7.414832661,6.885226927,5.656341635,3.409523058,2.683159196,1.539908442,0.797337157,12.34751132,7.662496738,6.970927144,5.082459016,2.40399279,1.722901549,0.954301376,0.489313801,3.754686251,4.285887899,5.416686785,2.773817388,2.73961183,3.033627674,194,0.375,0,2,0.25,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,14.0625,5.557655955,3.495198903,7,11,0,0,1.46,0.25,0.730296743,1.48600464,0,0.333333333,5.656854249,0,3.301927249,0,0,0,0,0.5,1,4,69.59,5,226.0986618,319.8997349,30.84346069,1.927716293,21.88109115,8.426543515,0,434,24,4.028,78,41.0
Mol156,-1.2114,1.46748996,59.9471,11.9,15.99692748,-0.279527566,0.285306136,4.45516606,12.22525489,1063.05,0,39.488274,0,0,36,0.482364049,-0.239230483,0.19374326,-0.422975414,0.245070517,21.04336771,20.66100366,30.57037451,39.31801137,36.75206574,1236.724457,1455.260967,2067.098257,2452.452028,1776.455468,0,19,23.871726,2,1,1,1,6,0,1,0,0.048112522,0.206136036,0,0.015625,0.037997682,1.291039428,0.068041382,0.635379749,0.130245736,0.582820224,0.044194174,0.195368604,0.036084392,13.17336211,8.608226126,7.53308446,6.574463054,5.835025545,3.664142683,2.816392086,1.247507159,10.54473583,6.473509423,4.824953772,3.848844589,2.79634816,1.781706965,1.192239516,0.520731229,3.758208328,7.240034749,8.616075663,1.602012333,2.483895059,2.489623154,226,0.722222222,2,5,0.615384615,1,6,1,0,0,4,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,14.4099723,5.969821674,2.659279778,2,8,0,2,2.34,0,1.782568613,1.173482316,0.5,9.281057202,8.278011566,2.823267124,2.672696154,3.039342743,0.75,0,0.5,0.5,1,2,75.27,5.169925001,246.5097072,250.1317426,35.98221472,1.999011929,13.54664319,7.604039101,5.942604085,537,35,2.176,92,175.0
Mol157,1.613,2.601769,97.383,11.99430539,14.00827931,-0.308912281,0.058857095,5.712074219,11.60608145,1789.02,0,51.643032,12,12,45,0.161682874,-0.0984169,0.017837471,-0.041549117,0.088463969,21.7199606,23.9970916,31.9970916,36.32945547,32.69234417,1604.33059,1873.094939,2590.054681,3002.529486,2529.717526,1,23,30.196968,0,10,2,2,3,0,0,0,0.166666667,0.214076175,0,0.055555556,0.06412891,1.149829914,0,0.247193875,0,0.728508298,0,0.098348174,0,14.65648977,10.2540202,8.982738022,7.262809385,6.252455047,5.294526856,3.828924622,2.944232484,13.04876325,7.835903638,6.065891942,4.21554754,3.156168944,2.273169564,1.490065229,0.99468023,2.56097718,4.350864458,6.367855926,1.317374559,1.905095261,2.367825085,331,0.714285714,0,2,0.368421053,2,5,0,8,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15.87901701,7.513007284,3.854848305,6,13,0,3,3.33,0.5,4.122596842,1.2344268,0,21.4769147,18.98371186,0,3.086163688,0,0,0,0,0.444444444,0.8,4,6.48,5.392317423,284.4855587,280.193949,43.27108331,2.060527777,6.563458819,0,6.563458819,882,35,2.6,108,174.5
Mol158,0.6768,0.45805824,81.7999,11.99852078,34.97015645,-0.278142165,0.296934253,5.109734326,10.54404611,805.08,0,41.614309,6,6,34,0.599708347,-0.424421711,0.422638116,-0.458357305,0.197029445,39.82924783,28.22927268,44.62353472,44.51264548,56.17076335,1385.830167,1618.41215,2265.869168,2177.568165,2025.655057,0,22,22.545691,1,6,0,3,1,0,0,0.07856742,0.315898064,0.603152684,0.035355339,0.088279114,0.145379792,2.063313711,0,0.373065471,0,1.027151946,0,0.075548725,0,15.73168633,9.790601456,9.597670643,6.916881831,6.491012115,4.125626775,3.072289938,1.652729949,12.90346676,6.959507481,5.702577577,3.164220637,2.421859217,1.311852742,0.838042034,0.37505093,3.651365612,6.791938791,8.593889843,1.290027923,1.884348211,1.946111526,333,0.523809524,1,6,0.307692308,2,1,0,3,1,3,3,0,0,0,1,0,0,2,0,0,3,0,0,0,0,2,17.3553719,7.05078125,4.05,6,15,0,3,2.01,0.5,1.063659179,2.975647796,0,1.982703228,9.849808634,0,6.05824288,0,0.696238325,0,0,0.5,1,4,69.72,5.392317423,271.7556855,329.0333967,41.48482595,1.975467902,22.43347521,7.658465188,9.721779387,915,32,1.627,108,136.0
Mol159,-0.2676,0.07160976,62.7258,11.99623302,15.99999643,-0.411341868,0.334707576,3.657118207,8.513402164,752.06,0,34.471895,6,6,32,0.715708173,-0.404189226,-0.063548283,0.211922964,-0.061790932,21.23232548,19.82291775,25.53812805,24.81423288,20.26529481,732.7567139,793.4206749,968.8930976,912.3857773,731.0063206,0,17,22.444105,0,6,0,2,1,0,0,0,0.083333333,0.11785113,0,0.027777778,0.022680461,1.030256758,0,0.083333333,0,0.295063098,0,0.013888889,0,12.67336211,8.130228955,6.866583756,4.85794695,3.462737026,2.756795293,1.423655468,0.885149399,9.458521935,4.992816015,3.245726766,1.918276105,1.150457242,0.721311416,0.305669817,0.159492728,1.688548003,2.086152397,2.589674474,0.424217464,0.461835344,0.445039977,269,0.352941176,2,4,0.363636364,1,2,0,4,1,1,2,0,0,1,0,0,0,0,0,1,1,3,0,0,0,0,15.05882353,8.163265306,5.928166352,9,8,0,3,2.01,0,1.330775212,0.942809042,0,5.23244964,7.943864833,0,1.771030138,0,0.2,1.414213562,0,0.5,1,7,91.01,5.087462841,219.9578898,241.0950227,33.24325192,1.955485407,15.99327838,13.61317727,2.380101116,606,20,-0.223,76,93.0
Mol160,0.1735,0.03010225,40.5647,11.89,15.99692068,-0.360424862,0.386468088,4.117470679,8.487955586,214.03,0,21.153551,6,6,18,0.327862421,-0.175934268,0.016703687,0.049282342,-0.0091861,13.32340711,11.99627593,17.10283694,15.99255186,12.65673582,493.6150672,549.5230826,712.2491527,608.9911896,334.0327059,0,11,9.568449,1,4,2,1,0,0,0,0,0.068041382,0.175366474,0,0.024056261,0.046842679,0.993793492,0,0.232307808,0,0.29104195,0,0.041666667,0,8.43072142,5.109060905,4.803379676,3.354159711,2.679205054,1.462748888,1.043736797,0.19641855,5.587512694,2.915764815,2.101286366,1.319946337,0.762362185,0.382787218,0.144840694,0.021849058,1.838473736,2.723353666,2.770965865,0.492936748,0.499075807,0.43631,95,0.545454545,1,2,0.125,1,0,0,3,0,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,9.090909091,3.6,2.214532872,3,10,0,0,2.01,0,1.040041912,1.941967087,0,1.650963624,6.83080311,0,3.14734519,0,0.721124785,0,0,0.5,1,1,60.36,4.459431619,138.174493,151.0395191,21.23398969,1.930362699,7.323319352,7.323319352,0,150,14,0.179,52,131.0
