rvmRadial,rvmPoly,svmRadial,svmPoly,gaussprRadial,gaussprPoly,nnet,knn,treebag,rf,cubist,pls,pcr,ens_greedy,ens_linear
0.67183088,0.678028111,0.866927342,0.820157658,1.022860952,0.875705728,0.774243154,0.767042371,0.915128827,0.864647889,0.74049651,0.859550545,0.884040163,0.697615334,0.608648601
1.264044724,1.198097014,0.953934631,1.160748348,1.197513694,1.258542333,1.255367362,1.037783782,1.225136147,1.1799887,1.028209275,1.121780883,1.123598941,1.06628906,1.010534531
1.015185635,0.858890192,0.971084022,0.649476717,1.018889226,0.799293646,0.918281976,1.087286813,0.9287604,0.825826333,0.943598295,0.844999387,0.85405756,0.77140649,0.769766326
0.595433812,0.597102997,0.806100185,0.732699011,0.863521745,0.780276544,1.253618759,0.726265443,0.794500735,0.886974242,0.714117162,0.777842483,0.740766276,0.666038622,0.560120981
0.908381911,0.837962864,0.776304128,0.811273036,0.95470595,0.844188898,1.046102494,0.933477817,1.066329666,1.15434586,0.653292587,0.769898832,0.799072638,0.809340906,0.955024111
1.277699947,1.307863209,0.774479285,1.261744882,0.800576551,1.161623655,1.488009319,1.151344721,0.989271848,1.239883005,1.301654394,1.119669689,1.110595328,0.688561161,1.06421713
0.709254085,0.594340972,0.750115046,0.610581862,0.766734144,0.800462782,0.88250988,0.918922376,0.923636153,0.856310279,0.672226273,0.573219907,0.696969332,0.696241191,0.905311571
0.806362285,0.743260069,0.522769474,0.619689341,0.726180125,0.545178321,0.699799686,0.612822197,0.781303932,0.733610653,0.798194222,0.714270989,0.716816284,0.559393366,0.458722374
1.018137492,0.88366639,0.391239297,0.745371416,0.403925844,0.648056395,0.749015305,0.609077992,0.540631354,0.498213666,0.508927295,0.586156495,0.522598089,0.564253784,0.546661701
0.82025141,0.610114097,0.706835149,0.608746794,0.752961837,0.62809488,0.906975365,0.860487104,0.729016596,0.803329524,0.452483535,0.526979838,0.484695566,0.505620114,0.50367703
1.011011726,1.105095421,1.243733554,1.267809573,1.192032631,1.210711103,1.247642113,1.259063673,1.527300277,1.380864603,1.169468214,1.224344074,1.116930883,1.151761912,1.15769294
0.771720278,0.725662669,0.876347044,0.666753566,0.872124054,1.188381593,0.841627609,0.795575451,0.856307095,0.841935942,0.860286833,0.656905885,0.697094704,0.810241094,0.827824555
1.220406392,0.986302667,1.139003907,0.894300914,1.254654922,0.915365555,0.901175434,1.17978191,1.25806029,1.133049736,0.96417172,0.884132421,0.914129221,0.898037462,0.980472043
2.344951975,0.960351734,1.782969326,1.240711707,1.746859444,1.305442075,1.831650123,1.406959369,1.542297161,1.466261024,1.301387265,1.160627245,1.195125538,1.069219016,0.874601568
1.102371451,0.945644678,1.058571208,1.26148651,0.77119105,1.124719673,1.819812847,1.058174262,0.864932967,0.960002258,0.890125287,0.947074946,0.953432802,1.200135197,1.25798311
1.14485254,0.82378768,0.7125806,0.79307535,1.092790214,0.78829964,0.880209474,0.990920511,0.98032,0.928226994,0.698981172,0.810489748,0.817294709,0.763049471,0.623687771
1.301705086,0.984960961,1.126740261,0.919861271,1.15644501,0.928573182,1.311318007,1.080538261,1.6086801,1.348981743,1.272612996,1.036302553,0.95041596,0.99667601,0.842662532
0.975178896,0.532813665,0.776279903,0.501458905,0.762248125,0.700749368,1.28901842,0.870332288,0.806790718,0.773458448,0.50932537,0.529628261,0.549631501,0.744976697,0.914757065
0.795284402,0.853433516,0.824019792,0.820329533,0.840177856,0.749249143,1.156991591,0.849867833,0.832039673,0.869688298,0.780102838,0.821579962,0.802527184,0.736580511,0.757761584
0.876809745,0.725798538,0.687853243,0.814997576,0.85031937,0.724739151,0.804543242,0.740168912,0.977517408,0.911739526,0.791291109,0.766702995,0.789508743,0.714389923,0.69929126
0.574819385,0.912131151,0.808219362,0.897308915,0.810007792,0.81516248,1.135811313,0.75346953,0.730549544,0.871464353,0.804972119,0.792543008,0.785792294,0.736713956,0.906002426
0.910125302,0.796170983,0.654398802,0.923272301,0.914128558,0.91502459,0.991343955,0.787455396,0.956253594,0.925797561,0.661732576,0.923713239,0.847947621,0.754085886,1.002476308
1.019286432,1.210335737,1.14192883,1.369321253,1.445469047,1.379029903,1.18974728,1.268419246,1.330701123,1.346948129,1.223739968,1.275360586,1.212590982,1.190148821,1.143398414
1.038699054,1.018977804,1.114895396,1.003675476,1.048494382,1.040754408,1.237496505,1.033,0.956797439,0.95443129,0.911428916,0.996650406,0.99038793,0.942622697,1.020966082
1.005058487,1.117720864,0.944436344,1.055873539,1.222392557,1.115043968,0.78088522,1.047782897,1.280690326,1.197024116,1.035229624,1.029362616,1.003717174,0.980054323,0.911251546
1.626475204,1.131288073,0.982651598,1.009674045,1.23044782,1.106005062,0.839086828,1.267097339,1.288781681,1.22398391,1.073972275,1.160721511,1.114714683,0.974585778,1.103457131
0.989602814,0.850562001,0.959400475,0.857435412,0.935470254,0.925408447,0.860745284,0.668494662,1.174715577,1.056290203,0.764375216,0.826612447,0.799821528,0.787601216,0.80414973
1.0819018,1.017290597,0.847245454,0.871470069,1.021983229,0.923835153,1.292823396,0.950563234,1.119673115,1.037490016,0.824645907,1.005245599,0.934707733,0.963912918,0.835613446
1.594230956,1.170690835,0.896561037,0.988954206,1.024556278,0.879886777,1.368766327,0.969893921,0.875501257,0.890224724,1.122250846,0.987641733,0.918191478,0.903152072,1.044644873
0.891411111,0.856209524,0.931079115,1.653404491,0.868508015,1.097556232,1.249765576,0.677039881,0.887052975,1.14486368,0.555153053,0.542066777,0.382854814,0.743035519,0.7565373
0.923423816,0.708487356,0.702195214,0.836369868,0.996546657,0.721050825,0.927932197,0.963149867,1.035028057,1.033346612,0.802105967,0.85929653,0.804230971,0.670229147,0.658693507
1.241272614,0.987401237,0.972830369,0.997829292,1.035196759,0.980124857,1.227836962,0.938262223,0.996161409,1.010815351,0.9038747,1.007989928,1.014894323,0.953209524,1.087990286
1.199780523,1.19184408,1.187963834,1.110612981,1.157835639,1.051660866,1.476463372,1.277785946,1.400677964,1.363281152,1.282589892,1.104835984,1.041405265,1.238255741,1.133100999
0.894508209,0.918282082,0.778850741,0.857322832,0.867544096,0.839344884,1.015699571,0.824387854,0.832917895,0.755407193,0.876115729,0.9545755,0.888068526,0.819060288,0.82483081
0.74639797,0.735044961,0.733124852,0.872716776,0.944081881,0.819854352,1.221585299,0.724506729,0.977736232,0.950224756,0.767139366,0.830979779,0.808789275,0.733179511,0.658571273
1.378215731,0.754838611,1.055077521,0.746302996,1.263020559,0.838040413,0.823510524,1.404205727,1.232781888,1.163352511,0.738606641,0.832037464,0.752154065,0.684335456,0.815654975
0.932107009,0.973404059,1.02047565,1.029055839,1.11021306,1.016640289,1.052852505,0.980184576,1.064880495,1.072071261,1.021293115,1.068422756,1.050519947,0.892295415,0.898990981
1.284455297,0.93918275,1.082765213,0.93239121,1.114862163,0.96248713,1.190539973,0.872732755,1.153456657,1.219144794,1.110567803,1.012286218,1.01639419,0.898752464,0.963627043
0.856683366,0.825686626,1.159917584,0.794341374,1.020292613,0.941738215,0.574135754,1.022969697,1.03921712,1.004773901,1.016990539,0.864261622,0.841187613,0.826155088,0.774046432
2.487531269,1.435778044,1.708413034,1.299722043,1.627058761,0.997810918,1.345077597,1.330595226,1.324128697,1.245048566,1.329539848,1.283180295,1.19377987,1.133717358,1.09990055
0.838515523,0.865753291,0.993817411,0.855284628,1.041515627,0.701321658,1.410106471,0.959891382,1.091330037,1.031873836,0.975701966,0.867499251,0.956860533,0.752928057,0.774589943
1.197960188,0.852569048,0.987470788,0.723865243,1.040733599,0.592837344,0.853009013,1.055848158,1.017453247,0.887638781,0.714733726,0.790498305,0.664625782,0.527134167,0.501033536
2.169350145,0.74232052,1.487299286,1.155118268,1.430703592,1.037882451,1.408911882,1.260450608,1.387331351,1.294002412,0.916193776,0.697095252,0.685471532,0.701708479,0.562513088
1.398822151,0.971297619,1.085830257,1.114660263,0.953366563,1.079940571,1.093307032,1.06558293,1.105378227,1.031045803,0.942085511,0.910660257,0.838411527,0.920288101,0.939740715
0.688166923,0.56957851,0.97320837,1.250594264,0.771665131,0.67661249,0.810738656,0.856021417,0.842312382,0.953329811,0.64656846,0.660912143,0.508628834,0.601296963,0.577713567
1.35021251,1.482045675,1.078712724,1.207365539,0.873834327,1.189854415,0.963176004,0.917581241,1.097154323,0.830557919,1.007874197,1.185386443,1.18061747,0.920030103,0.81046062
0.94165988,0.900282866,1.027153018,1.037698913,1.10420691,1.115766624,0.976100377,1.144668802,1.312734648,1.191921375,1.031822554,1.149995293,1.089000019,0.985887518,0.938229062
1.155292684,0.890661725,0.879537402,0.988186434,1.072928924,1.091067228,1.278109335,0.747428155,1.081788463,0.997344981,0.939793348,1.061779308,0.963123394,1.000170745,0.818641145
1.649928075,0.919844248,1.084139234,0.694916744,1.308186172,0.884651835,0.970190003,1.081107303,1.17903499,1.041646672,0.889653633,0.853009065,0.898436049,0.791340653,0.874356014
1.07556097,1.128560486,0.970010956,1.153459736,1.302613579,1.224715476,0.91054979,1.214054365,1.138516602,1.15568889,1.175076649,1.266846687,1.254259447,1.041816108,0.968038527
